Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker
... < 0 DM,0.029411764705882346,critical account/ other credits existing (not at this bank),radio/television,0.0505667436997909,unknown/ no savings account,>= 7 years,1.0,male : single,none,1.0,real estate,0.8571428571428572,none,own,0.3333333333333333,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.6470588235294117,existing credits paid back duly till now,radio/television,0.3136898866512601,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,female : divorced/separated/married,none,0.3333333333333333,real estate,0.0535714285714286,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.1176470588235294,critical account/ other credits existing (not at this bank),education,0.10157367668097282,... < 100 DM,4 <= ... < 7 years,0.3333333333333333,male : single,none,0.6666666666666667,real estate,0.5357142857142858,none,own,0.0,unskilled - resident,1.0,none,yes
... < 0 DM,0.5588235294117647,existing credits paid back duly till now,furniture/equipment,0.4199405744470122,... < 100 DM,4 <= ... < 7 years,0.3333333333333333,male : single,guarantor,1.0,building society savings agreement/ life insurance,0.46428571428571425,none,for free,0.0,skilled employee / official,1.0,none,yes
... < 0 DM,0.2941176470588235,delay in paying off in the past,car (new),0.25420931000330144,... < 100 DM,1 <= ... < 4 years,0.6666666666666667,male : single,none,1.0,unknown / no property,0.6071428571428572,none,for free,0.3333333333333333,skilled employee / official,1.0,none,yes
no checking account,0.47058823529411764,existing credits paid back duly till now,education,0.4844833278309673,unknown/ no savings account,1 <= ... < 4 years,0.3333333333333333,male : single,none,1.0,unknown / no property,0.28571428571428575,none,for free,0.0,unskilled - resident,1.0,"yes, registered under the customers name",yes
no checking account,0.2941176470588235,existing credits paid back duly till now,furniture/equipment,0.14223616154946628,500 <= ... < 1000 DM,>= 7 years,0.6666666666666667,male : single,none,1.0,building society savings agreement/ life insurance,0.6071428571428572,none,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.47058823529411764,existing credits paid back duly till now,car (used),0.3685484758446132,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.28571428571428575,none,rent,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
no checking account,0.1176470588235294,existing credits paid back duly till now,radio/television,0.15456146142841423,>= 1000 DM,4 <= ... < 7 years,0.3333333333333333,male : divorced/separated,none,1.0,real estate,0.75,none,own,0.0,unskilled - resident,0.0,none,yes
0 <= ... < 200 DM,0.38235294117647056,critical account/ other credits existing (not at this bank),car (new),0.27423792230659183,... < 100 DM,unemployed,1.0,male : married/widowed,none,0.3333333333333333,"car or other, not in attribute 6",0.16071428571428575,none,own,0.3333333333333333,management/ self-employed/ highly qualified employee/ officer,0.0,none,yes
0 <= ... < 200 DM,0.1176470588235294,existing credits paid back duly till now,car (new),0.05749972488169913,... < 100 DM,< 1 year,0.6666666666666667,female : divorced/separated/married,none,0.0,"car or other, not in attribute 6",0.10714285714285715,none,rent,0.0,skilled employee / official,0.0,none,yes
... < 0 DM,0.6470588235294117,existing credits paid back duly till now,business,0.22328601298558381,... < 100 DM,< 1 year,0.6666666666666667,female : divorced/separated/married,none,1.0,building society savings agreement/ life insurance,0.0892857142857143,none,rent,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.1176470588235294,existing credits paid back duly till now,radio/television,0.07246616044899307,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,0.0,"car or other, not in attribute 6",0.0535714285714286,none,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
... < 0 DM,0.2941176470588235,critical account/ other credits existing (not at this bank),car (new),0.052217453505007144,... < 100 DM,>= 7 years,1.0,male : single,none,1.0,"car or other, not in attribute 6",0.7321428571428572,none,own,0.3333333333333333,unskilled - resident,0.0,none,yes
... < 0 DM,0.16176470588235292,existing credits paid back duly till now,car (new),0.06344228018047761,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,female : divorced/separated/married,none,1.0,"car or other, not in attribute 6",0.16071428571428575,none,rent,0.0,skilled employee / official,0.0,none,yes
... < 0 DM,0.2941176470588235,existing credits paid back duly till now,radio/television,0.056784417299438755,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,0.3333333333333333,"car or other, not in attribute 6",0.23214285714285715,none,own,0.0,unskilled - resident,0.0,none,yes
no checking account,0.2941176470588235,critical account/ other credits existing (not at this bank),radio/television,0.11962143721800374,unknown/ no savings account,>= 7 years,1.0,male : single,none,1.0,building society savings agreement/ life insurance,0.6071428571428572,none,own,0.3333333333333333,skilled employee / official,0.0,none,yes
... < 0 DM,0.38235294117647056,no credits taken/ all credits paid back duly,business,0.43039506988004844,unknown/ no savings account,< 1 year,0.3333333333333333,male : single,none,0.6666666666666667,"car or other, not in attribute 6",0.10714285714285715,bank,own,0.6666666666666667,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.2941176470588235,existing credits paid back duly till now,car (used),0.6783867062837019,... < 100 DM,>= 7 years,1.0,female : divorced/separated/married,none,0.3333333333333333,unknown / no property,0.44642857142857145,none,for free,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
no checking account,0.2941176470588235,existing credits paid back duly till now,radio/television,0.17497523935292178,500 <= ... < 1000 DM,>= 7 years,0.6666666666666667,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.21428571428571425,none,own,0.0,skilled employee / official,1.0,"yes, registered under the customers name",yes
